,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
240,house,,3.7,25534.851621808142,1449.0,Plot area 161(134.62 sq.m.),8.0,8.0,2,4.0,North-East,sector 57,0.0,0.0,1.0,0.0,0.0,new,1.0,,1449.0,,58.0,181.125
242,house,,3.6,19607.843137254906,1836.0,Plot area 204(170.57 sq.m.),8.0,4.0,3,3.0,North,sector 10a,0.0,0.0,1.0,0.0,0.0,moderately old,1.0,,1836.0,,35.0,229.5
255,house,,5.15,26614.98708010336,1935.0,Plot area 215(179.77 sq.m.),9.0,9.0,3+,3.0,East,sector 47,0.0,0.0,0.0,0.0,1.0,relatively new,1.0,,1935.0,,82.0,215.0
279,house,,2.7,18620.689655172413,1450.0,Plot area 1450(134.71 sq.m.),5.0,5.0,2,3.0,East,sector 23,,,,,,old,1.0,,1450.0,,17.0,290.0
292,house,,4.25,31481.48148148148,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),5.0,5.0,3+,3.0,East,sector 27,0.0,1.0,1.0,0.0,0.0,relatively new,1.0,,1467.0,1350.0,58.0,270.0
316,house,Ansal Sushant Lok 2,3.4,22222.222222222223,1530.0,Plot area 170(142.14 sq.m.),6.0,6.0,3+,2.0,West,sector 56,,,,,,moderately old,1.0,,1530.0,,38.0,255.0
317,house,,1.45,12393.162393162393,1170.0,Plot area 130(108.7 sq.m.)Built Up area: 130 sq.yards (108.7 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),4.0,4.0,2,2.0,North,sector 15,0.0,0.0,0.0,1.0,0.0,old,0.0,,1170.0,100.0,13.0,292.5
340,house,Sector 57 Huda,3.8,26063.10013717421,1458.0,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8.0,8.0,3+,4.0,East,sector 57,0.0,0.0,1.0,0.0,1.0,relatively new,1.0,,1458.0,1440.0,112.0,182.25
347,house,Sector 38 RWA,4.3,28781.793842034807,1494.0,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),9.0,9.0,3+,3.0,East,sector 38,0.0,0.0,1.0,1.0,0.0,relatively new,1.0,,1494.0,1476.0,50.0,166.0
349,house,,5.0,44444.444444444445,1125.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9.0,9.0,3+,5.0,East,sector 55,0.0,0.0,0.0,1.0,0.0,new,2.0,,1125.0,900.0,53.0,125.0
