,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score
2389,flat,Krisumi Waterfall Residences,3.65,14381.40267927502,2538.0,Super Built up area 2538(235.79 sq.m.),3.0,3.0,2,17.0,East,sector 36a,,,,,,new,0.0,2538.0,,,38.0
2390,flat,CHD Avenue 713.6,1.4,7945.516458569807,1762.0,Carpet area: 1762 (163.7 sq.m.),3.0,3.0,2,1.0,South-East,sector 71,0.0,0.0,1.0,0.0,0.0,moderately old,1.0,,,1762.0504299999998,179.0
2391,flat,Smart World Orchard,2.6,14722.536806342016,1766.0,Super Built up area 1630(151.43 sq.m.),3.0,3.0,2,2.0,,sector 61,,,,,,new,0.0,1630.0,,,60.0
2392,flat,M3M Skywalk,1.6,11379.800853485063,1406.0,Super Built up area 1406(130.62 sq.m.),2.0,2.0,2,28.0,,sector 74,,,,,,new,0.0,1406.0,,,22.0
2393,flat,Supertech Hill Town,0.75,6250.0,1200.0,Super Built up area 1200(111.48 sq.m.),2.0,2.0,2,17.0,North,sector-2,1.0,0.0,1.0,1.0,0.0,new,0.0,1200.0,,,97.0
2394,flat,Vatika City Homes3.9,0.75,5660.377358490566,1325.0,Super Built up area 1325(123.1 sq.m.),2.0,2.0,2,3.0,West,sector 83,,,,,,relatively new,1.0,1325.0,,,62.0
2395,flat,Emaar The Palm Drive,3.9,18633.540372670806,2093.0,Built Up area: 2200 (204.39 sq.m.),3.0,4.0,3,2.0,,sector 66,,,,,,relatively new,0.0,,2200.033521,,0.0
2396,flat,M3M Sky Lofts,1.0,11494.252873563219,870.0,Built Up area: 869 (80.73 sq.m.)Carpet area: 435 sq.ft. (40.41 sq.m.),1.0,1.0,1,9.0,,sector 71,,,,,,,0.0,,868.969647,435.0,0.0
2397,flat,Raheja Vedaanta3.6,0.7,4521.963824289405,1548.0,Built Up area: 1548 (143.81 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,1.0,West,sector 108,,,,,,,0.0,,1547.956459,1200.0,0.0
2398,flat,Sidhartha NCR One Phase 14.2,0.6,4800.0,1250.0,Built Up area: 1250 (116.13 sq.m.),2.0,2.0,3,10.0,North-East,sector 95,,,,,,,0.0,,1250.011707,,0.0
2399,flat,Chintels Paradiso3.9,1.97,7490.494296577946,2630.0,Super Built up area 2630(244.33 sq.m.),4.0,4.0,2,11.0,North-East,sector 109,0.0,1.0,1.0,0.0,0.0,relatively new,0.0,2630.0,,,56.0
2400,flat,ILD Grand,1.35,7142.857142857143,1890.0,Built Up area: 1820 (169.08 sq.m.),3.0,3.0,0,1.0,,sector 37c,,,,,,new,0.0,,1819.960212,,0.0
2401,flat,Ramprastha The Edge Towers3.5,0.75,5319.148936170212,1410.0,Built Up area: 1410 (130.99 sq.m.),2.0,2.0,3,19.0,,sector 37d,,,,,,moderately old,0.0,,1409.963261,,0.0
2402,flat,Pioneer Park3.8,1.6,11594.202898550724,1380.0,Carpet area: 1380 (128.21 sq.m.),2.0,2.0,2,21.0,,sector 61,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,,,1380.039619,143.0
2403,flat,Paras Dews,2.1,8917.197452229299,2355.0,Super Built up area 2355(218.79 sq.m.),4.0,6.0,3+,6.0,South-East,sector 106,0.0,1.0,0.0,1.0,0.0,relatively new,0.0,2355.0,,,73.0
2404,flat,Umang Monsoon Breeze,0.69,5390.624999999999,1280.0,Carpet area: 1280 (118.92 sq.m.),2.0,2.0,2,11.0,,sector 78,,,,,,moderately old,0.0,,,1280.042988,73.0
2405,flat,M3M Soulitude,1.0,9066.183136899366,1103.0,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,2.0,,sector 89,1.0,0.0,0.0,0.0,0.0,new,0.0,,,1102.976833,56.0
2406,flat,Signature Global Park 4,0.85,11333.333333333334,750.0,Carpet area: 750 (69.68 sq.m.),3.0,2.0,3,1.0,,sector 36,,,,,,new,0.0,,,750.028552,40.0
2407,flat,Raheja The Vedaanta Floors,0.7,4521.963824289405,1548.0,Carpet area: 1548 (143.81 sq.m.),2.0,2.0,3,1.0,,sector 108,,,,,,moderately old,1.0,,,1547.956459,0.0
2408,flat,M3M Soulitude,1.42,9978.917779339423,1423.0,Carpet area: 1423 (132.2 sq.m.),3.0,3.0,2,3.0,,sector 89,,,,,,new,0.0,,,1422.9875799999998,22.0
2409,flat,ROF Ananda,0.38,5900.621118012423,644.0,Carpet area: 644.12 (59.84 sq.m.),2.0,2.0,2,5.0,,sector 95,1.0,0.0,0.0,0.0,0.0,relatively new,0.0,,,644.111776,99.0
2410,flat,AVL 36 Gurgaon3.7,0.5,8333.333333333334,600.0,Built Up area: 600 (55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),1.0,1.0,1,5.0,,sector 36a,,,,,,,0.0,,599.979786,500.0,0.0
2411,flat,Tata Primanti4.1,6.5,15294.117647058823,4250.0,Super Built up area 4250(394.84 sq.m.),4.0,4.0,3+,,East,sector 72,1.0,1.0,1.0,0.0,0.0,relatively new,0.0,4250.0,,,95.0
2412,flat,Bestech Altura,1.9,9000.473709142587,2111.0,Carpet area: 2150 (199.74 sq.m.),3.0,4.0,2,11.0,,sector 79,0.0,1.0,0.0,0.0,0.0,new,0.0,,,2149.981386,56.0
2413,flat,ILD Greens4.1,1.05,7500.0,1400.0,Super Built up area 1875(174.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,3,4.0,,sector 37c,,,,,,new,1.0,1875.0,1500.0,1400.0,12.0
2414,flat,Piedmont Taksila heights3.6,0.9,5855.562784645414,1537.0,Built Up area: 1537 (142.79 sq.m.),3.0,3.0,3,9.0,South-West,sector 37c,,,,,,moderately old,1.0,,1536.977281,,116.0
2415,flat,DLF The Arbour,8.5,21518.98734177215,3950.0,Built Up area: 3950 (366.97 sq.m.),4.0,4.0,0,27.0,,sector 63,,,,,,,0.0,,3950.028383,,0.0
2416,flat,Suncity Avenue 76,0.75,10204.081632653062,735.0,Super Built up area 735(68.28 sq.m.),2.0,2.0,2,11.0,,sector 76,,,,,,new,0.0,735.0,,,0.0
2417,flat,ATS Marigold,1.5,8571.42857142857,1750.0,Carpet area: 1750 (162.58 sq.m.),3.0,3.0,3,2.0,,sector 89,0.0,0.0,0.0,1.0,0.0,new,0.0,,,1749.994862,56.0
2418,flat,Godrej Summit3.7,1.75,7530.120481927711,2324.0,Carpet area: 2324 (215.91 sq.m.),4.0,5.0,3+,1.0,,sector 104,0.0,1.0,0.0,0.0,0.0,new,0.0,,,2324.033649,88.0
2419,flat,Bestech Altura,1.9,8837.209302325582,2150.0,Super Built up area 2150(199.74 sq.m.),3.0,4.0,3,11.0,North-East,sector 79,,,,,,new,0.0,2150.0,,,127.0
2420,flat,Godrej Nature Plus Serenity,1.45,8677.438659485339,1671.0,Super Built up area 1671(155.24 sq.m.),3.0,2.0,3,3.0,South,sector-33,,,,,,new,0.0,1671.0,,,56.0
2421,flat,Conscient Elevate,4.02,17501.08837614279,2297.0,Carpet area: 2295 (213.21 sq.m.),3.0,3.0,1,3.0,,sector 59,,,,,,new,0.0,,,2294.971119,52.0
2422,flat,Sare Crescent Parc Royal Greens Phase 1,0.5,5000.0,1000.0,Built Up area: 1000 (92.9 sq.m.)Carpet area: 999 sq.ft. (92.81 sq.m.),2.0,2.0,3,2.0,North-East,sector 92,,,,,,,0.0,,999.96631,999.0,0.0
2423,flat,Emaar MGF The Palm Drive4.1,3.98,18090.909090909092,2200.0,Super Built up area 2200(204.39 sq.m.),3.0,4.0,3+,2.0,South-East,sector 66,0.0,1.0,0.0,0.0,0.0,moderately old,1.0,2200.0,,,185.0
2424,flat,Godrej 1014.0,1.47,16261.061946902655,904.0,Carpet area: 84.01,2.0,2.0,3,9.0,North-East,sector 79,1.0,0.0,0.0,0.0,0.0,new,0.0,,,84.01,119.0
2425,flat,Lotus Homz4.0,0.7,10057.471264367816,696.0,Carpet area: 696 (64.66 sq.m.),2.0,2.0,2,8.0,East,sector 111,,,,,,relatively new,0.0,,,695.9937739999999,84.0
2426,flat,Smart World Gems,1.1,9972.801450589302,1103.0,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,3.0,,sector 89,0.0,0.0,0.0,0.0,1.0,new,0.0,,,1102.976833,114.0
2427,flat,Krisumi Waterfall Residences,2.2,14874.915483434754,1479.0,Super Built up area 1479(137.4 sq.m.),2.0,2.0,2,23.0,North,sector 36a,,,,,,new,0.0,1479.0,,,22.0
2428,flat,ROF Ananda,0.55,5500.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 745 sq.ft. (69.21 sq.m.),3.0,2.0,2,14.0,East,sector 95,1.0,0.0,0.0,0.0,0.0,new,2.0,1000.0,,745.0,37.0
2429,flat,ROF Ananda,0.55,8527.131782945737,645.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3.0,2.0,2,14.0,East,sector 95,1.0,0.0,0.0,0.0,0.0,new,1.0,1000.0,,645.0,88.0
2430,flat,Smart World Gems,1.16,8151.791988756149,1423.0,Carpet area: 1423 (132.2 sq.m.),3.0,3.0,2,3.0,South-East,sector 89,1.0,0.0,0.0,0.0,0.0,new,0.0,,,1422.9875799999998,82.0
2431,flat,Pareena Mi Casa,1.1,9016.393442622952,1220.0,Super Built up area 1245(115.66 sq.m.)Carpet area: 1225 sq.ft. (113.81 sq.m.),2.0,2.0,3,13.0,East,sector 68,,,,,,new,0.0,1245.0,,1225.0,128.0
2432,flat,Godrej Nature Plus,1.2,13363.0289532294,898.0,Carpet area: 76.44,2.0,2.0,0,11.0,,sector-33,,,,,,new,0.0,,,76.44,0.0
2433,flat,Antriksh Green,2.25,7826.086956521739,2875.0,Carpet area: 2875 (267.1 sq.m.),4.0,4.0,2,9.0,North,sector 45,0.0,1.0,0.0,0.0,0.0,old,2.0,,,2875.03769,30.0
2434,flat,Whiteland The Aspen,3.35,17613.038906414302,1902.0,Carpet area: 1900 (176.52 sq.m.),3.0,4.0,3+,5.0,North-East,sector 76,0.0,1.0,0.0,0.0,0.0,new,2.0,,,1900.043628,205.0
2435,flat,Bestech Altura,2.69,12500.0,2152.0,Super Built up area 2150(199.74 sq.m.),3.0,4.0,3+,3.0,,sector 79,0.0,1.0,0.0,0.0,0.0,new,0.0,2150.0,,,56.0
2436,flat,Ansal Height 86,0.8,5882.35294117647,1360.0,Built Up area: 1360 (126.35 sq.m.),2.0,2.0,0,1.0,,sector 86,,,,,,,0.0,,1360.0187649999998,,0.0
2437,flat,Ramsons Kshitij,0.35,5494.505494505494,637.0,Built Up area: 637 (59.18 sq.m.),2.0,2.0,0,5.0,,sector 95,,,,,,,0.0,,637.007602,,0.0
2438,flat,Vipul Lavanya3.9,0.6,6666.666666666667,900.0,Super Built up area 900(83.61 sq.m.),2.0,2.0,1,,,sector 81,,,,,,new,0.0,900.0,,,0.0
2439,flat,Conscient Heritage Max4.3,2.5,11633.317822242903,2149.0,Super Built up area 2149(199.65 sq.m.),3.0,4.0,3+,25.0,North-East,sector 102,1.0,1.0,0.0,0.0,0.0,new,1.0,2149.0,,,63.0
2440,flat,Vipul Lavanya3.9,0.6,6666.666666666667,900.0,Carpet area: 900 (83.61 sq.m.),2.0,2.0,1,,East,sector 81,,,,,,relatively new,0.0,,,899.9696789999999,56.0
2441,flat,Pareena Mi Casa,1.0,8163.265306122449,1225.0,Carpet area: 1225 (113.81 sq.m.),2.0,2.0,2,16.0,,sector 68,0.0,1.0,0.0,0.0,0.0,new,0.0,,,1225.039459,85.0
2442,flat,Smart World Orchard,2.54,15497.25442342892,1639.0,Carpet area: 1640 (152.36 sq.m.),3.0,3.0,3,2.0,,sector 61,0.0,0.0,0.0,0.0,1.0,new,0.0,,,1639.987804,46.0
2443,flat,Shree Vardhman Flora3.8,0.7,5177.514792899408,1352.0,Super Built up area 1352(125.6 sq.m.),2.0,2.0,3,9.0,East,sector 90,1.0,0.0,0.0,0.0,0.0,new,0.0,1352.0,,,110.0
2444,flat,M3M Heights,2.78,15199.562602515034,1829.0,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,,,sector 65,,,,,,,0.0,1828.0,,,78.0
2445,flat,Sare Crescent Parc3.5,0.9,4259.346900141978,2113.0,Super Built up area 1995(185.34 sq.m.),4.0,5.0,3+,3.0,,sector 92,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,1995.0,,,0.0
2446,flat,Shree Vardhman Flora3.8,0.96,5120.0,1875.0,Super Built up area 1875(174.19 sq.m.),3.0,4.0,3,3.0,North,sector 90,0.0,1.0,0.0,0.0,0.0,new,0.0,1875.0,,,127.0
2447,flat,Ramprastha Skyz,1.2,6000.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3.0,2.0,1,9.0,East,sector 37d,0.0,1.0,0.0,1.0,0.0,new,0.0,2000.0,1900.0,1850.0,67.0
2448,flat,M3M Woodshire4.0,0.9,6588.579795021962,1366.0,Super Built up area 1366(126.91 sq.m.),2.0,2.0,3+,10.0,,sector 107,0.0,0.0,0.0,1.0,0.0,relatively new,1.0,1366.0,,,0.0
2449,flat,ROF Aalayas3.8,0.45,6000.0,750.0,Built Up area: 750 (69.68 sq.m.),1.0,1.0,2,6.0,,sector 102,,,,,,,0.0,,750.028552,,0.0
