,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
975,flat,Experion Windchants3.8,2.6,10651.372388365424,2441.0,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.),0.0,2.0,3,8.0,North-East,sector 112,,,,,,relatively new,0.0,2441.0,1939.03,,239.0,inf
976,flat,Ansal Housing Highland Park,1.1,6242.905788876277,1762.0,Super Built up area 1762(163.7 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),0.0,3.0,3+,7.0,North-East,sector 103,,,,,,new,0.0,1762.0,1500.0,1300.0,109.0,inf
977,flat,M3M Woodshire4.0,0.75,5490.4831625183015,1366.0,Super Built up area 1366(126.91 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),0.0,2.0,3+,14.0,West,sector 107,0.0,0.0,1.0,0.0,0.0,relatively new,0.0,1366.0,,1050.0,245.0,inf
978,flat,M3M Woodshire4.0,1.3,8922.443376801648,1457.0,Super Built up area 1943(180.51 sq.m.)Built Up area: 1554 sq.ft. (144.37 sq.m.)Carpet area: 1457 sq.ft. (135.36 sq.m.),1.0,3.0,3+,4.0,West,sector 107,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,1943.0,1554.0,1457.0,237.0,1457.0
979,flat,M3M Woodshire4.0,1.49,6310.885218127912,2361.0,Super Built up area 2361(219.34 sq.m.),1.0,4.0,3+,5.0,East,sector 107,0.0,1.0,0.0,0.0,1.0,relatively new,1.0,2361.0,,,245.0,2361.0
980,flat,Godrej Oasis3.9,1.19,10162.254483347566,1171.0,Super Built up area 1628(151.25 sq.m.)Carpet area: 1171 sq.ft. (108.79 sq.m.),0.0,2.0,3,15.0,South-East,sector 88a,1.0,0.0,1.0,0.0,0.0,relatively new,1.0,1628.0,,1171.0,237.0,inf
981,flat,Godrej Oasis3.9,1.15,7116.336633663366,1616.0,Super Built up area 1616(150.13 sq.m.)Carpet area: 1168 sq.ft. (108.51 sq.m.),0.0,2.0,3,14.0,South-East,sector 88a,1.0,0.0,1.0,0.0,0.0,relatively new,0.0,1616.0,,1168.0,245.0,inf
982,flat,Satya The Hermitage3.5,0.995,6655.51839464883,1495.0,Super Built up area 1991(184.97 sq.m.)Carpet area: 1495 sq.ft. (138.89 sq.m.),2.0,4.0,3+,2.0,North-East,sector 103,0.0,1.0,1.0,0.0,0.0,relatively new,1.0,1991.0,,1495.0,237.0,747.5
983,flat,Vatika Gurgaon 213.7,0.78,6265.060240963855,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 790 sq.ft. (73.39 sq.m.),1.0,2.0,2,3.0,South-East,sector 83,1.0,0.0,1.0,0.0,0.0,relatively new,1.0,1245.0,850.0,790.0,236.0,1245.0
984,flat,Vatika Gurgaon 213.7,1.15,5808.080808080808,1980.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1308 sq.ft. (121.52 sq.m.),1.0,3.0,2,3.0,South,sector 83,1.0,1.0,1.0,0.0,1.0,relatively new,1.0,1980.0,1350.0,1308.0,229.0,1980.0
985,flat,Raheja Vedaanta3.6,0.8,4079.55124936257,1961.0,Super Built up area 1838(170.76 sq.m.),0.0,3.0,3,9.0,North-East,sector 108,0.0,0.0,1.0,0.0,0.0,relatively new,0.0,1838.0,,,237.0,inf
986,flat,Conscient Heritage Max4.3,2.2,10237.319683573754,2149.0,Super Built up area 2149(199.65 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),0.0,4.0,3+,20.0,East,sector 102,1.0,1.0,0.0,0.0,0.0,relatively new,1.0,2149.0,1186.0,1130.0,66.0,inf
987,flat,Shree Arihant Apartment,1.55,8611.111111111111,1800.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),1.0,3.0,3,3.0,North-East,sector 54,0.0,1.0,0.0,0.0,0.0,moderately old,1.0,2000.0,1900.0,1800.0,156.0,1800.0
988,flat,Tulip Violet4.2,1.55,9822.56020278834,1578.0,Super Built up area 1578(146.6 sq.m.),,3.0,2,,West,sector 69,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,1578.0,,,193.0,
989,flat,Tulip White3.5,0.9,6000.0,1500.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1326 sq.ft. (123.19 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3.0,2.0,3+,1.0,West,sector 69,,,,,,relatively new,1.0,1500.0,1326.0,1050.0,220.0,500.0
990,flat,The Nav Manesar Apartment,0.85,3953.488372093024,2150.0,Super Built up area 2150(199.74 sq.m.),1.0,3.0,3+,5.0,North-East,sector 1,0.0,1.0,0.0,0.0,0.0,moderately old,0.0,2150.0,,,12.0,2150.0
991,flat,Ireo Skyon4.0,3.0,12484.394506866416,2403.0,Super Built up area 2403(223.25 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),1.0,3.0,3,5.0,North-East,sector 60,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,2403.0,2400.0,2200.0,237.0,2403.0
992,flat,Ireo Skyon4.0,2.12,15531.135531135533,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),1.0,2.0,2,2.0,North-East,sector 60,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,1365.0,1350.0,1300.0,237.0,1365.0
993,flat,Umang Winter Hills3.9,1.05,5762.897914379802,1822.0,Super Built up area 1822(169.27 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),0.0,3.0,3,7.0,East,sector 77,,,,,,relatively new,0.0,1822.0,1600.0,1400.0,56.0,inf
994,flat,SS The Leaf3.8,1.65,6852.159468438538,2408.0,Super Built up area 2408(223.71 sq.m.),0.0,4.0,3,9.0,,sector 85,0.0,0.0,1.0,0.0,0.0,new,0.0,2408.0,,,28.0,inf
995,flat,Alpha Corp GurgaonOne 844.0,1.5,7641.365257259297,1963.0,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),0.0,3.0,3,20.0,North-West,sector 84,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,1963.0,,1700.0,44.0,inf
996,flat,M3M Merlin3.7,3.4,14418.99915182358,2358.0,Super Built up area 2358(219.07 sq.m.),0.0,4.0,3+,16.0,West,sector 67,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,2358.0,,,222.0,inf
997,flat,M3M Merlin3.7,3.5,14843.08736217133,2358.0,Super Built up area 2358(219.07 sq.m.),0.0,4.0,3+,15.0,South,sector 67,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,2358.0,,,222.0,inf
998,flat,Ireo Victory Valley4.1,3.15,12846.655791190864,2452.0,Super Built up area 2452(227.8 sq.m.),0.0,4.0,3+,15.0,South,sector 67,0.0,1.0,1.0,0.0,0.0,relatively new,1.0,2452.0,,,205.0,inf
999,flat,M3M Merlin3.7,2.78,13580.850024425989,2047.0,Super Built up area 2047(190.17 sq.m.),1.0,3.0,3+,4.0,South-West,sector 67,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,2047.0,,,228.0,2047.0
1000,flat,Ansal Heights3.2,0.72,4500.0,1600.0,Super Built up area 1935(179.77 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),0.0,3.0,3,9.0,South-West,sector 92,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,1935.0,1700.0,1600.0,56.0,inf
1001,flat,Professors Enclave CGHS,1.55,7750.0,2000.0,Super Built up area 2000(185.81 sq.m.),0.0,3.0,3+,6.0,East,sector 56,0.0,1.0,0.0,0.0,0.0,moderately old,1.0,2000.0,,,56.0,inf
