property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score
house,International City by Sobha Phase 1,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4.0,5.0,3+,3.0,East,sector 109,1.0,1.0,1.0,0.0,1.0,relatively new,1,,5400.0,,207
house,,3.2,13519.0,2367.0,Plot area 263(219.9 sq.m.),3.0,3.0,2,1.0,East,sector 9,,,,,,old,1,,2367.0,,36
house,,11.5,42032.0,2736.0,Plot area 304(254.18 sq.m.),12.0,13.0,3+,4.0,West,sector 56,1.0,1.0,1.0,0.0,0.0,relatively new,1,,2736.0,,58
house,Vipul Tatvam Villa,7.69,24069.0,3195.0,Plot area 355(296.83 sq.m.),4.0,5.0,3,2.0,North-West,sector 48,1.0,1.0,1.0,0.0,1.0,moderately old,1,,3195.0,,148
house,,7.0,21605.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,3+,1.0,North-East,sector 82,1.0,1.0,1.0,0.0,0.0,relatively new,1,,3240.0,,58
house,,3.85,14650.0,2628.0,Plot area 292(244.15 sq.m.),4.0,4.0,3,3.0,North-West,sector 7,,,,,,old,0,,2628.0,,27
house,,2.0,13889.0,1440.0,Plot area 160(133.78 sq.m.),2.0,2.0,2,2.0,North-West,sector 7,,,,,,old,0,,1440.0,,22
house,,3.1,13778.0,2250.0,Plot area 250(209.03 sq.m.),3.0,3.0,2,2.0,North-West,sector 7,,,,,,old,0,,2250.0,,22
house,,2.25,15625.0,1440.0,Plot area 160(133.78 sq.m.),3.0,3.0,2,2.0,North-West,sector 7,,,,,,old,1,,1440.0,,27
house,Vipul Tatvam Villa,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4.0,5.0,3+,2.0,North,sector 48,1.0,1.0,1.0,1.0,0.0,moderately old,1,,4000.0,,58
house,Emaar MGF Marbella,8.7,38667.0,2250.0,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4.0,5.0,2,3.0,East,sector 66,1.0,1.0,0.0,0.0,0.0,new,0,,2250.0,,191
house,International City by SOBHA Phase 2,12.5,26667.0,4687.0,Plot area 500(418.06 sq.m.),5.0,6.0,3,3.0,East,sector 109,1.0,1.0,1.0,0.0,1.0,relatively new,0,,4500.0,,79
house,International City by SOBHA Phase 2,6.8,12593.0,5400.0,Plot area 600(501.68 sq.m.),4.0,5.0,3,2.0,North-West,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,0,,5400.0,,58
house,International City by SOBHA Phase 2,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),7.0,6.0,3,3.0,West,sector 109,1.0,1.0,1.0,0.0,0.0,relatively new,0,,3600.0,,178
house,International City by SOBHA Phase 2,7.0,12963.0,5400.0,Plot area 600(501.68 sq.m.),5.0,6.0,2,2.0,West,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,0,,5400.0,,178
house,International City by SOBHA Phase 2,6.2,25514.0,2430.0,Plot area 270(225.75 sq.m.),5.0,5.0,2,2.0,South-West,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,0,,2430.0,,175
house,huda sector-56 gurgaon,3.6,24845.0,1449.0,Plot area 161(134.62 sq.m.),5.0,5.0,3+,3.0,North-East,sector 56,0.0,0.0,0.0,1.0,0.0,moderately old,0,,1449.0,,63
house,International City by Sobha Phase 1,5.9,24280.0,2430.0,Plot area 270(225.75 sq.m.),4.0,5.0,2,2.0,East,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,1,,2430.0,,129
house,International City by Sobha Phase 1,5.85,26423.0,2214.0,Plot area 246(205.69 sq.m.),4.0,5.0,3+,2.0,East,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,1,,2214.0,,100
house,Bptp Visionnaire,4.0,6666.0,6001.0,Plot area 6000(557.42 sq.m.),4.0,4.0,3+,2.0,North-East,sector 70a,0.0,1.0,0.0,0.0,0.0,relatively new,0,,6000.0,,201
house,Bptp Visionnaire,5.35,8916.0,6000.0,Built Up area: 6000 (557.42 sq.m.),4.0,4.0,3+,3.0,North,sector 70a,1.0,1.0,1.0,0.0,1.0,relatively new,1,,6000.013137999999,,191
house,International City by Sobha Phase 1,6.3,9000.0,7000.0,Built Up area: 7000 (650.32 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),4.0,5.0,3+,2.0,West,sector 109,,,,,,relatively new,1,,6999.979448,4500,144
house,International City by Sobha Phase 1,12.0,20000.0,6000.0,Plot area 8000(743.22 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5.0,6.0,3,2.0,North-East,sector 109,1.0,1.0,0.0,0.0,0.0,relatively new,1,,8000.0,6000,187
house,International City by Sobha Phase 1,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4.0,5.0,3+,2.0,North,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,1,,2430.0,,129
house,,6.25,2778.0,22498.0,Plot area 3100(2591.99 sq.m.)Built Up area: 2660 sq.yards (2224.1 sq.m.)Carpet area: 2500 sq.yards (2090.32 sq.m.),9.0,9.0,3+,3.0,North-East,sector 57,0.0,1.0,0.0,0.0,0.0,new,1,,3100.0,2500,68
house,private house,7.05,46906.0,1503.0,Plot area 167(139.63 sq.m.),18.0,18.0,3+,4.0,North-East,sector 55,0.0,0.0,0.0,1.0,0.0,relatively new,2,,1503.0,,75
house,,3.69,23699.0,1557.0,Plot area 173(144.65 sq.m.),4.0,4.0,2,2.0,East,sector 31,1.0,1.0,1.0,0.0,0.0,moderately old,1,,1557.0,,91
house,International City by SOBHA Phase 2,11.3,25111.0,4500.0,Plot area 500(418.06 sq.m.)Built Up area: 480 sq.yards (401.34 sq.m.)Carpet area: 460 sq.yards (384.62 sq.m.),7.0,5.0,3+,4.0,East,sector 109,1.0,1.0,1.0,1.0,0.0,relatively new,0,,4500.0,460,58
house,International City by SOBHA Phase 2,11.25,25000.0,4500.0,Plot area 500(418.06 sq.m.),7.0,5.0,3+,4.0,North-East,sector 109,1.0,1.0,1.0,0.0,0.0,relatively new,0,,4500.0,,42
house,Bptp Visionnaire,4.02,7309.0,5500.0,Built Up area: 5500 (510.97 sq.m.),4.0,4.0,3+,3.0,North-East,sector 70a,1.0,1.0,1.0,0.0,1.0,relatively new,0,,5500.029983,,169
house,International City by Sobha Phase 1,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4.0,4.0,3+,4.0,East,sector 109,1.0,1.0,0.0,0.0,0.0,relatively new,0,,5400.0,,120
house,,4.5,14286.0,3150.0,Plot area 14(354.1 sq.m.),9.0,9.0,3+,3.0,,sector 9a,1.0,0.0,1.0,1.0,0.0,relatively new,1,,14.0,,38
house,,0.9,8928.0,1008.0,Built Up area: 1008 (93.65 sq.m.),3.0,1.0,No,1.0,,sector 3,,,,,,,0,,1008.0392350000001,,0
house,,3.93,24214.0,1623.0,Plot area 1623(150.78 sq.m.)Built Up area: 1622 sq.ft. (150.69 sq.m.),19.0,17.0,3,4.0,North-West,sector 17a,1.0,1.0,1.0,0.0,1.0,relatively new,0,,1623.0,,89
house,,4.0,26613.0,1503.0,Plot area 167(139.63 sq.m.),4.0,4.0,3+,2.0,,sector 56,,,,,,relatively new,1,,1503.0,,24
house,,0.82,9111.0,900.0,Plot area 100(83.61 sq.m.),4.0,3.0,3,2.0,North,sector 8,,,,,,moderately old,0,,900.0,,12
house,Ansal Heights3.2 ★,2.75,9793.0,2808.0,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),4.0,4.0,3+,3.0,,sector 92,1.0,0.0,1.0,0.0,0.0,relatively new,0,,2808.0,,0
house,Ninex City,1.75,6250.0,2800.0,Carpet area: 2800 (260.13 sq.m.),4.0,4.0,No,14.0,,sector 76,,,,,,,0,,,2800.0133069999997,0
house,Spaze Privy3.9 ★,3.1,8486.0,3653.0,Plot area 3653(339.37 sq.m.),5.0,5.0,3+,21.0,,sector 72,,,,,,relatively new,0,,3653.0,,0
house,,5.0,22222.0,2250.0,Plot area 250(209.03 sq.m.),3.0,3.0,3,1.0,South,sector 14,,,,,,moderately old,0,,2250.0,,34
house,Unitech Uniworld Resorts,9.5,23333.0,4071.0,Plot area 500(418.06 sq.m.),5.0,7.0,3+,2.0,East,sector 33,1.0,1.0,1.0,0.0,1.0,new,0,,500.0,,72
